area,welfare,weight
rural,217.36216823630136,329.2368530273438
rural,109.01271671660959,351.89959716796875
rural,213.44287243150686,398.89556884765625
rural,423.683540239726,538.45697021484375
rural,1053.5749571917809,165.6372528076172
rural,307.12660530821915,445.40081787109375
rural,382.05144477739725,481.0739440917969
rural,264.9958690068493,313.1604919433594
rural,840.3619006849315,782.39825439453125
rural,328.4832726883562,727.6269378662109
rural,482.9353381849315,361.25775146484375
rural,290.8695526541096,188.65802001953125
rural,256.107502140411,863.7113037109375
rural,159.44245505136988,185.93038940429687
rural,2492.609589041096,376.7030029296875
rural,152.51302975171234,564.7523193359375
rural,277.23021190068494,556.34185791015625
rural,416.01925299657535,702.16748046875
rural,157.5660102739726,220.03250122070312
rural,1090.8732020547945,132.98538208007812
rural,117.6873046875,361.25775146484375
rural,714.7776755136987,4247.7080078125
rural,704.3700128424657,667.8172607421875
rural,1080.9942636986302,129.97916793823242
rural,1246.7648116438356,102.76142883300781
rural,232.33468535958903,105.51272583007812
rural,195.02199272260273,424.18796212332586
rural,426.7640946061644,202.18345642089844
rural,141.82191780821918,416.0028076171875
rural,259.9236568921233,966.05718994140625
rural,536.9592251712329,525.698974609375
rural,601.963227739726,1215.2457275390625
rural,143.85288955479453,98.69751739501953
rural,157.53894477739726,232.0862565474077
rural,152.77978381849314,1064.5552978515625
rural,373.2955158390411,734.25579833984375
rural,102.36196489726028,538.45697021484375
rural,181.71223779965754,837.00384521484375
rural,127.46114351455479,159.35926818847656
rural,751.3451840753424,228.06373596191406
rural,105.9288955479452,1208.8497314453125
rural,201.54124571917808,540.51446533203125
rural,1740.9083476027397,335.5826721191406
rural,117.7679714255137,144.9325942993164
rural,297.00693493150686,218.71646118164062
rural,647.6872859589041,1577.8555908203125
rural,125.21286922089041,1215.2457275390625
rural,245.6119006849315,439.9932338169643
rural,581.8925085616438,235.08565266927081
rural,496.5490582191781,345.611572265625
rural,204.50181934931507,251.74002075195313
rural,480.71455479452055,317.97674560546875
rural,265.0753799229452,757.61334228515625
rural,458.96532534246575,445.2580261230469
rural,309.893386130137,323.8601379394531
rural,420.4201412671233,497.4029235839844
rural,254.071875,337.821533203125
rural,224.23797624143836,928.50732421875
rural,149.3709278681507,281.6091003417969
rural,271.9613334760274,445.0867614746094
rural,204.00674229452054,708.2913818359375
rural,255.30707940924657,226.0751495361328
rural,474.4342037671233,70.99600982666016
rural,151.61049336472604,681.8089599609375
rural,376.6569991438356,351.89959716796875
rural,167.6140678510274,737.88494873046875
rural,250.4027504280822,146.55508422851562
rural,380.9774614726027,126.65847778320312
rural,153.990234375,762.578857421875
rural,31.076222709760273,595.93780517578125
rural,303.02093321917806,942.66998291015625
rural,444.9631207191781,618.6705322265625
rural,224.39868364726027,598.54913330078125
rural,81.56733197773973,1149.3535034179688
rural,856.3805008561644,547.31695556640625
rural,456.4088398972603,482.9657287597656
rural,199.7357555650685,451.2934265136719
rural,350.1588184931507,321.07745361328125
rural,45.5359482020548,800.24346923828125
rural,349.4068279109589,817.223876953125
rural,302.043332619863,584.3401031494141
rural,1477.5321061643835,525.698974609375
rural,357.9851776541096,405.7342834472656
rural,130.33039918664383,313.1604919433594
rural,221.04323630136986,1003.8125610351562
rural,305.83802440068496,822.868408203125
rural,182.94793985445204,948.12799072265625
rural,41.57474582619863,800.24346923828125
rural,103.64483090753424,944.810791015625
rural,306.469841609589,189.09860229492187
rural,83.78598030821918,4247.7080078125
rural,790.716459760274,478.99188232421875
rural,679.1118364726027,98.3749771118164
rural,225.71888912671233,395.3016357421875
rural,294.0405821917808,550.52398681640625
rural,230.75220462328767,414.1434020996094
rural,142.45036386986303,1079.453857421875
rural,272.69133133561644,283.3776206970215
rural,550.7443921232876,498.0074462890625
rural,162.33920162671234,748.8377685546875
rural,418.132866010274,916.64251708984375
rural,115.38264394263699,153.58668518066406
rural,214.82141481164385,972.3658447265625
rural,189.32112585616437,536.88043212890625
rural,117.06246254280822,164.76547241210937
rural,271.9613334760274,445.0867614746094
rural,262.42098672945207,601.3561630249023
rural,203.101171875,525.698974609375
rural,274.28912671232877,398.5821838378906
rural,234.3627354452055,797.944091796875
rural,163.37860659246576,591.74542236328125
rural,1203.181720890411,1150.110107421875
rural,594.7493578767123,729.1474609375
rural,208.01434610445204,394.4638977050781
rural,552.5613441780822,404.11993408203125
rural,2418.8075342465754,573.76568603515625
rural,71.35336579623288,569.68194580078125
rural,713.2062714041095,445.23162841796875
rural,243.91716074486303,635.20196533203125
rural,716.4400684931506,497.4029235839844
rural,412.12191780821917,631.16021728515625
rural,494.52116866438354,282.9616394042969
rural,284.32840325342465,662.6993408203125
rural,117.79364833047946,875.68310546875
rural,517.4415346746575,586.46209716796875
rural,134.1888457833904,503.0832824707031
rural,421.89779537671234,216.4840545654297
rural,287.26518621575343,390.7442932128906
rural,61.46095890410959,1064.5552978515625
rural,144.4976776541096,169.921875
rural,263.19989833047947,187.6688232421875
rural,518.1393621575343,729.6415571732954
rural,148.07592572773973,343.26727294921875
rural,485.9478595890411,300.520068359375
rural,117.06246254280822,164.76547241210937
rural,145.84482020547946,297.765625
rural,261.22392444349316,66.8919677734375
rural,166.85915560787672,169.921875
rural,260.13817422945203,332.27783203125
rural,264.3615796232877,180.86012268066406
rural,146.8669841609589,1148.398681640625
rural,124.24351990582191,702.80291748046875
rural,80.06599957191781,944.810791015625
rural,173.166042380137,320.3321838378906
rural,94.5154270119863,559.19580078125
rural,1077.4136558219177,319.82476806640625
rural,1217.7801369863014,395.70843505859375
rural,122.14781410530821,413.49097595214846
